"launch_id","name","date_utc","year","launch_success","landing_success","reuse_flight","reuse_bucket","is_reused","payload_mass_kg_total","landing_type","landpad"
"5eb87ce1ffd86e000604b334","CASSIOPE","2013-09-29T16:00:00.000Z",2013,1,0,1,"1",0,500,"Ocean",NA
"5eb87ce4ffd86e000604b337","CRS-3","2014-04-18T19:25:00.000Z",2014,1,1,1,"1",0,2296,"Ocean",NA
"5eb87ce4ffd86e000604b338","OG-2 Mission 1","2014-07-14T15:15:00.000Z",2014,1,1,1,"1",0,1316,"Ocean",NA
"5eb87ce7ffd86e000604b33b","CRS-4","2014-09-21T05:52:00.000Z",2014,1,0,1,"1",0,2216,"Ocean",NA
"5eb87ce8ffd86e000604b33c","CRS-5","2015-01-10T09:47:00.000Z",2015,1,0,1,"1",0,2395,"ASDS","5e9e3032383ecb761634e7cb"
"5eb87ceaffd86e000604b33d","DSCOVR","2015-02-11T23:03:00.000Z",2015,1,1,1,"1",0,570,"Ocean",NA
"5eb87cecffd86e000604b33f","CRS-6","2015-04-14T20:10:00.000Z",2015,1,0,1,"1",0,1898,"ASDS","5e9e3032383ecb761634e7cb"
"5eb87cefffd86e000604b342","OG-2 Mission 2","2015-12-22T01:29:00.000Z",2015,1,1,1,"1",0,2034,"RTLS","5e9e3032383ecb267a34e7c7"
"5eb87cf0ffd86e000604b343","Jason 3","2016-01-17T15:42:00.000Z",2016,1,0,1,"1",0,553,"ASDS","5e9e3033383ecbb9e534e7cc"
"5eb87cf2ffd86e000604b344","SES-9","2016-03-04T23:35:00.000Z",2016,1,0,1,"1",0,5271,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87cf3ffd86e000604b345","CRS-8","2016-04-08T20:43:00.000Z",2016,1,1,1,"1",0,3136,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87cf5ffd86e000604b346","JCSAT-2B","2016-05-06T05:21:00.000Z",2016,1,1,1,"1",0,4696,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87cf6ffd86e000604b347","Thaicom 8","2016-05-27T21:39:00.000Z",2016,1,1,1,"1",0,3100,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87cf8ffd86e000604b348","ABS-2A / Eutelsat 117W B","2016-06-15T14:29:00.000Z",2016,1,0,1,"1",0,3600,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87cf9ffd86e000604b349","CRS-9","2016-07-18T04:45:00.000Z",2016,1,1,1,"1",0,2257,"RTLS","5e9e3032383ecb267a34e7c7"
"5eb87cfaffd86e000604b34a","JCSAT-16","2016-08-14T05:26:00.000Z",2016,1,1,1,"1",0,4600,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87cfdffd86e000604b34c","Iridium NEXT Mission 1","2017-01-14T17:54:00.000Z",2017,1,1,1,"1",0,9600,"ASDS","5e9e3033383ecbb9e534e7cc"
"5eb87cfeffd86e000604b34d","CRS-10","2017-02-19T14:39:00.000Z",2017,1,1,1,"1",0,2490,"RTLS","5e9e3032383ecb267a34e7c7"
"5eb87d00ffd86e000604b34f","SES-10","2017-03-30T22:27:00.000Z",2017,1,1,2,"2",1,5300,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87d01ffd86e000604b350","NROL-76","2017-05-01T11:15:00.000Z",2017,1,1,1,"1",0,NA,"RTLS","5e9e3032383ecb267a34e7c7"
"5eb87d03ffd86e000604b352","CRS-11","2017-06-03T21:07:00.000Z",2017,1,1,1,"1",0,2708,"RTLS","5e9e3032383ecb267a34e7c7"
"5eb87d04ffd86e000604b353","BulgariaSat-1","2017-06-23T19:10:00.000Z",2017,1,1,2,"2",1,3669,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87d05ffd86e000604b354","Iridium NEXT Mission 2","2017-06-25T20:25:00.000Z",2017,1,1,1,"1",0,9600,"ASDS","5e9e3033383ecbb9e534e7cc"
"5eb87d07ffd86e000604b356","CRS-12","2017-08-14T16:31:00.000Z",2017,1,1,1,"1",0,2910,"RTLS","5e9e3032383ecb267a34e7c7"
"5eb87d08ffd86e000604b357","FormoSat-5","2017-08-24T18:50:00.000Z",2017,1,1,1,"1",0,475,"ASDS","5e9e3033383ecbb9e534e7cc"
"5eb87d09ffd86e000604b358","Boeing X-37B OTV-5","2017-09-07T13:50:00.000Z",2017,1,1,1,"1",0,4990,"RTLS","5e9e3032383ecb267a34e7c7"
"5eb87d0affd86e000604b359","Iridium NEXT Mission 3","2017-10-09T12:37:00.000Z",2017,1,1,1,"1",0,9600,"ASDS","5e9e3033383ecbb9e534e7cc"
"5eb87d0cffd86e000604b35a","SES-11 / Echostar 105","2017-10-11T22:53:00.000Z",2017,1,1,2,"2",1,5200,"ASDS","5e9e3032383ecb6bb234e7ca"
